,Solution,Fitness,ARPD
0,"[2, 19, 10, 5, 9, 11, 15, 1, 8, 3, 0, 18, 6, 17, 7, 12, 14, 13, 16, 4]",1401.0,1.6690856313497824
1,"[17, 2, 8, 5, 19, 1, 10, 12, 15, 0, 6, 9, 14, 11, 13, 18, 7, 3, 4, 16]",1401.0,1.6690856313497824
2,"[2, 14, 11, 9, 5, 15, 0, 1, 17, 6, 13, 18, 10, 19, 8, 12, 7, 3, 4, 16]",1447.0,5.0072568940493465
3,"[2, 19, 14, 5, 9, 1, 6, 17, 11, 7, 3, 13, 0, 8, 15, 18, 10, 12, 16, 4]",1424.0,3.3381712626995648
4,"[2, 3, 19, 17, 11, 5, 6, 0, 1, 15, 8, 16, 9, 10, 12, 14, 7, 13, 18, 4]",1434.0,4.063860667634253
5,"[17, 2, 11, 9, 6, 5, 1, 8, 19, 14, 12, 15, 7, 13, 0, 18, 10, 3, 4, 16]",1415.0,2.6850507982583456
6,"[17, 2, 6, 8, 5, 19, 1, 10, 12, 15, 9, 11, 7, 3, 0, 18, 14, 13, 4, 16]",1422.0,3.193033381712627
7,"[2, 11, 19, 15, 17, 9, 6, 10, 5, 12, 14, 13, 7, 0, 1, 8, 3, 16, 18, 4]",1398.0,1.4513788098693758
8,"[17, 2, 5, 19, 14, 11, 12, 15, 0, 9, 18, 6, 8, 1, 10, 7, 3, 13, 4, 16]",1411.0,2.39477503628447
9,"[2, 17, 8, 19, 9, 10, 6, 5, 0, 1, 14, 12, 11, 15, 13, 7, 18, 3, 4, 16]",1415.0,2.6850507982583456
